Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2022/23),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name
1-Apr-23,5,1,NSW,ATC,RAND,ATC AUSTRALIAN DERBY,2400,"2,000,000",3-Y-O,O,SW,ATC AUSTRALIAN DERBY
1-Apr-23,10,1,NSW,ATC,RAND,ATC SIRES PRODUCE STAKES,1400,"1,000,000",2-Y-O,O,SW,ATC SIRES PRODUCE STAKES
1-Apr-23,182,2,NSW,ATC,RAND,CHAIRMAN'S HANDICAP,2600,"300,000",3YO&Up,O,Qlty,AJC CHAIRMANS HANDICAP
1-Apr-23,101,3,NSW,ATC,RAND,ADRIAN KNOX QLTY STAKES,2000,"200,000",3-Y-O,F,Qlty,ADRIAN KNOX STAKES
1-Apr-23,167,3,NSW,ATC,RAND,CARBINE CLUB STAKES,1600,"200,000",3-Y-O,O,SWP,AJC CARBINE CLUB STAKES
1-Apr-23,571,3,NSW,ATC,RAND,KINDERGARTEN STAKES,1100,"200,000",2-Y-O,O,SW,KINDERGARTEN STAKES
1-Apr-23,107,3,NSW,ATC,RAND,P J BELL STAKES,1200,"200,000",3-Y-O,F,SWP,P J BELL STAKES
1-Apr-23,778,4,VIC,BJC,BEND,BENDIGO GUINEAS,1400,"200,000",3-Y-O,O,SWP,BENDIGO GUINEAS
1-Apr-23,779,4,VIC,BJC,BEND,GOLDEN MILE,1600,"200,000",O,O,Hcp,GOLDEN MILE
1-Apr-23,402,4,WA,PINJ,PINJ,PINJARRA CUP,2300,"150,000",3YO&Up,O,Qlty,PINJARRA CUP
8-Apr-23,470,4,SA,OAKB,OAKB,HILLS RAILWAY STAKES,1100,"127,250",O,O,Qty,HILLS RAILWAY STAKES
8-Apr-23,554,4,WA,WATC,ASCT,OLD COMRADE STAKES,1600,"125,000",2YO&Up,O,Qlty,YORK HCP
8-Apr-23,45,2,WA,WATC,ASCT,W.A.T.C. DERBY,2400,"400,000",3-Y-O,O,SW,W.A.T.C. DERBY
8-Apr-23,412,1,NSW,ATC,RAND,QUEEN ELIZABETH STAKES,2000,"4,000,000",3YO&Up,O,WFA,ATC QUEEN ELIZABETH STAKES
8-Apr-23,8,1,NSW,ATC,RAND,SYDNEY CUP,3200,"2,000,000",3YO&Up,O,Hcp,SYDNEY CUP
